name_gpu,watt,price,YOLOv5l,YOLOv5l6,YOLOv5m,YOLOv5m6,YOLOv5n,YOLOv5n6,YOLOv5s,YOLOv5s6,YOLOv5x,YOLOv5x6TTA,method
RTX A6000,300.0,5785.0,13.59,49.94,10.06,36.04,7.1,22.03,7.26,25.69,19.23,77.43,ONNX
RTX 8000,260.0,6900.0,18.71,65.97,13.5,44.24,8.62,23.65,9.01,30.42,32.08,110.45,ONNX
3080,320.0,1642.0,17.59,65.49,12.56,44.55,8.2,26.71,8.74,30.36,26.73,109.1,ONNX
A100 80GB PCIe,300.0,15143.0,12.08,38.13,9.72,28.75,6.87,21.21,7.66,22.78,17.76,59.65,ONNX
RTX A6000,300.0,5785.0,22.15,76.4,21.58,56.59,16.41,52.25,17.81,52.48,31.33,107.95,TFGraphDef
RTX 8000,260.0,6900.0,27.94,88.64,23.84,62.53,21.09,62.98,20.51,47.66,38.21,126.93,TFGraphDef
3080,320.0,1642.0,26.18,0.0,23.69,59.08,20.08,56.31,20.03,70.15,34.39,0.0,TFGraphDef
A100 80GB PCIe,300.0,15143.0,19.98,66.99,18.01,43.55,15.26,67.79,15.09,40.68,24.03,74.22,TFGraphDef
RTX A6000,300.0,5785.0,8.89,26.95,7.04,16.28,5.09,6.88,5.01,8.58,12.91,47.39,TorchScript
RTX 8000,260.0,6900.0,13.34,45.15,9.65,24.54,6.04,9.3,7.07,11.44,25.34,79.4,TorchScript
3080,320.0,1642.0,13.02,38.43,9.27,21.95,6.4,8.32,6.64,10.4,19.89,76.89,TorchScript
A100 80GB PCIe,300.0,15143.0,10.67,15.87,11.16,11.62,5.3,7.57,11.43,8.06,12.22,26.46,TorchScript
RTX A6000,300.0,5785.0,28.91,75.36,22.28,57.89,17.74,55.69,18.69,54.05,31.66,107.84,TF
RTX 8000,260.0,6900.0,28.73,86.15,23.53,61.82,20.39,69.19,21.1,69.68,38.87,127.15,TF
3080,320.0,1642.0,25.73,99.0,24.58,60.1,20.77,68.81,21.23,70.14,34.63,0.0,TF
A100 80GB PCIe,300.0,15143.0,19.92,67.41,18.02,43.4,14.54,75.69,15.17,44.58,25.02,74.3,TF
